;Simul;Mean;Scale;# Aval;# Coal;# Plan;TotCoals;St. Lack;End Lack;St. Well;End Well
0;1;15;0,75;0;0;0;0;0;0;1;1
0;2;15;0,75;0;0;0;0;0;0;1;1
0;3;15;0,75;0;0;0;0;0;0;1;1
0;4;15;0,75;0;0;0;0;0;0;1;1
0;5;15;0,75;0;0;0;0;0;0;1;1
0;6;15;0,75;0;0;0;0;0;0;1;1
0;7;15;0,75;0;0;0;0;0;0;1;1
0;8;15;0,75;0;0;0;0;0;0;1;1
0;9;15;0,75;0;0;0;0;0;0;1;1
0;10;15;0,75;0;0;0;0;0;0;1;1
0;1;15;1,125;0;0;0;0;1;1;0,997333333;0,977333333
0;2;15;1,125;0;0;0;0;0;0;1;1
0;3;15;1,125;2;0;0;0;5;5;0,986666667;0,92
0;4;15;1,125;1;0;0;0;5;5;0,988666667;0,957333333
0;5;15;1,125;0;0;0;0;0;0;1;1
0;6;15;1,125;0;0;0;0;0;0;1;1
0;7;15;1,125;1;0,066666667;0;1;1;1;0,997333333;0,986666667
0;8;15;1,125;0;0;0;0;1;1;0,997333333;0,977333333
0;9;15;1,125;1;0,066666667;0;1;0;0;1;1
0;10;15;1,125;1;0,066666667;0;1;0;0;1;1
0;1;15;1,5;6;0,133333333;0;1;19;19;0,962;0,85
0;2;15;1,5;7;0,2;0;3;25;25;0,956;0,804
0;3;15;1,5;8;0,133333333;0;2;27;27;0,951333333;0,813333333
0;4;15;1,5;5;0,133333333;0;2;7;7;0,985333333;0,928666667
0;5;15;1,5;7;0,2;0;3;8;8;0,985333333;0,909333333
0;6;15;1,5;5;0,133333333;0;1;14;14;0,975333333;0,898666667
0;7;15;1,5;4;0,133333333;0;2;7;7;0,988666667;0,946
0;8;15;1,5;4;0,133333333;0;1;3;3;0,994666667;0,933333333
0;9;15;1,5;7;0,2;0;2;19;19;0,968666667;0,897333333
0;10;15;1,5;7;0,266666667;0;2;6;6;0,988;0,934666667
0;1;15;1,875;12;0,333333333;0;4;78;78;0,902666667;0,738666667
0;2;15;1,875;11;0,266666667;0;2;87;87;0,885333333;0,724666667
0;3;15;1,875;10;0,066666667;0;1;129;129;0,841333333;0,656666667
0;4;15;1,875;11;0,066666667;0;1;107;107;0,862;0,624666667
0;5;15;1,875;11;0,133333333;0;2;120;120;0,854;0,64
0;6;15;1,875;10;0,2;0;2;69;69;0,912666667;0,775333333
0;7;15;1,875;8;0,066666667;0;1;97;97;0,882666667;0,614666667
0;8;15;1,875;6;0,066666667;0;1;67;67;0,912;0,753333333
0;9;15;1,875;9;0,133333333;0;1;66;66;0,916;0,766666667
0;10;15;1,875;11;0,133333333;0;2;152;152;0,818;0,627333333
0;1;15;2,25;11;0,133333333;0;2;203;203;0,795333333;0,625333333
0;2;15;2,25;13;0,066666667;0;1;308;308;0,704;0,380666667
0;3;15;2,25;9;0;0;0;168;168;0,826666667;0,591333333
0;4;15;2,25;11;0,066666667;0;1;337;337;0,689333333;0,448666667
0;5;15;2,25;9;0;0;0;191;191;0,81;0,620666667
0;6;15;2,25;11;0,066666667;0;1;225;225;0,776;0,523333333
0;7;15;2,25;10;0;0;0;210;210;0,760666667;0,558666667
0;8;15;2,25;11;0,133333333;0;1;170;170;0,823333333;0,593333333
0;9;15;2,25;13;0,2;0;2;241;241;0,755333333;0,53
0;10;15;2,25;7;0,066666667;0;1;81;81;0,909333333;0,764666667
1;1;15;0,75;0;0;1;0;0;0;1;1
1;2;15;0,75;0;0;1;0;0;0;1;1
1;3;15;0,75;0;0;1;0;0;0;1;1
1;4;15;0,75;0;0;1;0;0;0;1;1
1;5;15;0,75;0;0;1;0;0;0;1;1
1;6;15;0,75;0;0;1;0;0;0;1;1
1;7;15;0,75;0;0;1;0;0;0;1;1
1;8;15;0,75;0;0;1;0;0;0;1;1
1;9;15;0,75;0;0;1;0;0;0;1;1
1;10;15;0,75;0;0;1;0;0;0;1;1
1;1;15;1,125;1;0,066666667;1;1;0;0;1;1
1;2;15;1,125;18;0;1;0;6;6;0,985333333;0,95
1;3;15;1,125;12;0;1;0;4;4;0,989333333;0,971333333
1;4;15;1,125;0;0;1;0;0;0;1;1
1;5;15;1,125;1;0,066666667;1;1;0;0;1;1
1;6;15;1,125;1;0,066666667;1;1;0;0;1;1
1;7;15;1,125;5;0;1;0;3;3;0,993333333;0,983333333
1;8;15;1,125;7;0,066666667;1;1;4;4;0,990666667;0,948666667
1;9;15;1,125;18;0;1;0;4;4;0,989333333;0,972
1;10;15;1,125;0;0;1;0;0;0;1;1
1;1;15;1,5;14;0,133333333;1;2;14;14;0,978;0,95
1;2;15;1,5;17;0,266666667;1;2;22;15;0,966;0,893333333
1;3;15;1,5;14;0,066666667;1;1;4;4;0,992;0,982666667
1;4;15;1,5;30;0,066666667;1;1;45;41;0,932666667;0,857333333
1;5;15;1,5;16;0,266666667;1;3;19;19;0,972;0,938666667
1;6;15;1,5;24;0,133333333;1;1;26;25;0,959333333;0,935333333
1;7;15;1,5;12;0;1;0;7;7;0,984666667;0,966
1;8;15;1,5;22;0,133333333;1;2;10;10;0,981333333;0,942666667
1;9;15;1,5;14;0,066666667;1;1;15;15;0,977333333;0,938
1;10;15;1,5;17;0,2;1;3;17;17;0,970666667;0,932666667
1;1;15;1,875;43;0,266666667;1;3;90;79;0,885333333;0,812
1;2;15;1,875;64;0;1;0;144;144;0,820666667;0,736666667
1;3;15;1,875;51;0;1;0;110;110;0,868666667;0,842666667
1;4;15;1,875;42;0,133333333;1;2;58;58;0,924;0,842666667
1;5;15;1,875;44;0,133333333;1;1;81;77;0,891333333;0,728
1;6;15;1,875;30;0,2;1;1;45;44;0,943333333;0,89
1;7;15;1,875;20;0,333333333;1;3;26;23;0,962;0,815333333
1;8;15;1,875;39;0,133333333;1;2;96;96;0,875333333;0,744
1;9;15;1,875;53;0,2;1;2;123;123;0,842;0,747333333
1;10;15;1,875;30;0,266666667;1;3;73;59;0,902;0,81
